Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
61273342,Camp Zero,Michelle Min Sterling,"Sterling, Michelle Min",,1668007568,9781668007563,2,Atria Books,Hardcover,304,2023,2023,2023/08/23,2023/08/23,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1680273431i/61273342.jpg
64000510,Sun House,David James Duncan,"Duncan, David James",,316129372,9780316129374,4,"Little, Brown and Company",Hardcover,784,2023,2023,2023/09/10,2023/09/10,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1686576931i/64000510.jpg
54860573,Once There Were Wolves,Charlotte McConaghy,"McConaghy, Charlotte",,1250244145,9781250244147,3,Flatiron Books,Hardcover,272,2021,2021,2023/09/14,2023/09/14,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1606002779i/54860573.jpg
62952152,My Murder,Katie Williams,"Williams, Katie",,593543769,9780593543764,3,Riverhead Books,Hardcover,304,2023,2023,2023/09/24,2023/09/16,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1671235474i/62952152.jpg
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,1649374046,9781649374042,3,Entangled: Red Tower Books,Hardcover,517,2023,2023,2023/09/28,2023/09/28,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1761312598i/61431922.jpg
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,143039989,9780143039983,3,Penguin Classics,Paperback,182,2006,1959,2023/10/04,2023/10/04,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327871336i/89717.jpg
252669,Mariette in Ecstasy,Ron Hansen,"Hansen, Ron",,60981180,9780060981181,4,Perennial,Paperback,180,1991,1991,2023/10/05,2023/10/05,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1442710430i/252669.jpg
74896591,Hope: A Novel,Andrew Ridker,"Ridker, Andrew",,593493346,9780593493342,3,Viking,Kindle Edition,432,2023,2023,2023/10/13,2023/10/09,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1677904588i/74896591.jpg
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,,,3,Ballantine Books,ebook,258,2008,1968,2023/10/09,2023/10/09,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1507838927i/36402034.jpg
62039166,The Bee Sting,Paul Murray,"Murray, Paul",,374600309,9780374600303,3,"Farrar, Straus and Giroux",Hardcover,645,2023,2023,2023/10/24,2023/10/24,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1674502938i/62039166.jpg
